DATE,Single family units in 1000's
2016-01-15,50.2
2016-02-15,58.0
2016-03-15,62.2
2016-04-15,72.5
2016-05-15,70.2
2016-06-15,75.0
2016-07-15,72.6
2016-08-15,66.5
2016-09-15,67.4
2016-10-15,73.4
2016-11-15,60.6
2016-12-15,52.9
2017-01-15,53.1
2017-02-15,58.8
2017-03-15,69.5
2017-04-15,76.9
2017-05-15,76.9
2017-06-15,83.8
2017-07-15,79.4
2017-08-15,78.1
2017-09-15,72.5
2017-10-15,75.7
2017-11-15,69.1
2017-12-15,55.1
2018-01-15,59.9
2018-02-15,62.4
2018-03-15,72.5
2018-04-15,85.1
2018-05-15,88.7
2018-06-15,83.5
2018-07-15,81.8
2018-08-15,80.8
2018-09-15,75.0
2018-10-15,74.9
2018-11-15,58.5
2018-12-15,52.6
2019-01-15,64.1
2019-02-15,54.8
2019-03-15,69.7
2019-04-15,81.6
2019-05-15,77.6
2019-06-15,83.4
2019-07-15,84.8
