Date,30_Year_Treasury
2006-02-09,4.51
2006-02-10,4.55
2006-02-13,4.56
2006-02-14,4.60
2006-02-15,4.58
2006-02-16,4.57
2006-02-17,4.51
2006-02-20,.
2006-02-21,4.53
2006-02-22,4.48
2006-02-23,4.51
2006-02-24,4.52
2006-02-27,4.55
2006-02-28,4.51
2006-03-01,4.56
2006-03-02,4.62
2006-03-03,4.66
2006-03-06,4.72
2006-03-07,4.72
2006-03-08,4.72
2006-03-09,4.72
2006-03-10,4.74
2006-03-13,4.77
2006-03-14,4.71
2006-03-15,4.75
2006-03-16,4.70
2006-03-17,4.72
2006-03-20,4.70
2006-03-21,4.74
2006-03-22,4.73
2006-03-23,4.75
2006-03-24,4.70
2006-03-27,4.73
2006-03-28,4.80
2006-03-29,4.84
2006-03-30,4.89
2006-03-31,4.90
2006-04-03,4.90
2006-04-04,4.91
2006-04-05,4.90
2006-04-06,4.96
2006-04-07,5.04
2006-04-10,5.04
2006-04-11,5.00
2006-04-12,5.05
2006-04-13,5.11
2006-04-14,.
2006-04-17,5.08
2006-04-18,5.07
2006-04-19,5.13
2006-04-20,5.14
2006-04-21,5.10
2006-04-24,5.07
2006-04-25,5.16
2006-04-26,5.18
2006-04-27,5.18
2006-04-28,5.17
2006-05-01,5.23
2006-05-02,5.20
2006-05-03,5.24
2006-05-04,5.23
2006-05-05,5.20
2006-05-08,5.19
2006-05-09,5.20
2006-05-10,5.19
2006-05-11,5.23
2006-05-12,5.29
2006-05-15,5.26
2006-05-16,5.22
2006-05-17,5.28
2006-05-18,5.18
2006-05-19,5.14
2006-05-22,5.13
2006-05-23,5.16
2006-05-24,5.13
2006-05-25,5.17
2006-05-26,5.16
2006-05-29,.
2006-05-30,5.19
2006-05-31,5.21
2006-06-01,5.20
2006-06-02,5.10
2006-06-05,5.10
2006-06-06,5.08
2006-06-07,5.09
2006-06-08,5.06
2006-06-09,5.03
2006-06-12,5.03
2006-06-13,5.01
2006-06-14,5.09
2006-06-15,5.13
2006-06-16,5.17
2006-06-19,5.18
2006-06-20,5.19
2006-06-21,5.19
2006-06-22,5.23
2006-06-23,5.26
2006-06-26,5.28
2006-06-27,5.24
2006-06-28,5.28
2006-06-29,5.26
2006-06-30,5.19
2006-07-03,5.20
2006-07-04,.
2006-07-05,5.27
2006-07-06,5.23
2006-07-07,5.18
2006-07-10,5.17
2006-07-11,5.14
2006-07-12,5.14
2006-07-13,5.12
2006-07-14,5.11
2006-07-17,5.10
2006-07-18,5.16
2006-07-19,5.10
2006-07-20,5.08
2006-07-21,5.10
2006-07-24,5.11
2006-07-25,5.13
2006-07-26,5.10
2006-07-27,5.11
2006-07-28,5.07
2006-07-31,5.07
2006-08-01,5.07
2006-08-02,5.05
2006-08-03,5.04
2006-08-04,5.00
2006-08-07,5.00
2006-08-08,5.02
2006-08-09,5.05
2006-08-10,5.06
2006-08-11,5.09
2006-08-14,5.12
2006-08-15,5.05
2006-08-16,5.00
2006-08-17,5.00
2006-08-18,4.97
2006-08-21,4.96
2006-08-22,4.95
2006-08-23,4.95
2006-08-24,4.94
2006-08-25,4.93
2006-08-28,4.94
2006-08-29,4.93
2006-08-30,4.91
2006-08-31,4.88
2006-09-01,4.87
2006-09-04,.
2006-09-05,4.93
2006-09-06,4.95
2006-09-07,4.94
2006-09-08,4.92
2006-09-11,4.95
2006-09-12,4.91
2006-09-13,4.90
2006-09-14,4.92
2006-09-15,4.92
2006-09-18,4.93
2006-09-19,4.86
2006-09-20,4.85
2006-09-21,4.78
2006-09-22,4.74
2006-09-25,4.70
2006-09-26,4.71
2006-09-27,4.73
2006-09-28,4.76
2006-09-29,4.77
2006-10-02,4.76
2006-10-03,4.76
2006-10-04,4.72
2006-10-05,4.76
2006-10-06,4.84
2006-10-09,.
2006-10-10,4.88
2006-10-11,4.91
2006-10-12,4.91
2006-10-13,4.94
2006-10-16,4.92
2006-10-17,4.91
2006-10-18,4.89
2006-10-19,4.91
2006-10-20,4.91
2006-10-23,4.95
2006-10-24,4.95
2006-10-25,4.89
2006-10-26,4.84
2006-10-27,4.80
2006-10-30,4.78
2006-10-31,4.72
2006-11-01,4.68
2006-11-02,4.72
2006-11-03,4.81
2006-11-06,4.79
2006-11-07,4.76
2006-11-08,4.73
2006-11-09,4.73
2006-11-10,4.69
2006-11-13,4.71
2006-11-14,4.66
2006-11-15,4.69
2006-11-16,4.74
2006-11-17,4.69
2006-11-20,4.68
2006-11-21,4.66
2006-11-22,4.65
2006-11-23,.
2006-11-24,4.63
2006-11-27,4.62
2006-11-28,4.59
2006-11-29,4.61
2006-11-30,4.56
2006-12-01,4.54
2006-12-04,4.55
2006-12-05,4.57
2006-12-06,4.60
2006-12-07,4.60
2006-12-08,4.66
2006-12-11,4.63
2006-12-12,4.60
2006-12-13,4.69
2006-12-14,4.72
2006-12-15,4.72
2006-12-18,4.72
2006-12-19,4.73
2006-12-20,4.73
2006-12-21,4.70
2006-12-22,4.76
2006-12-25,.
2006-12-26,4.73
2006-12-27,4.78
2006-12-28,4.81
2006-12-29,4.81
2007-01-01,.
2007-01-02,4.79
2007-01-03,4.77
2007-01-04,4.72
2007-01-05,4.74
2007-01-08,4.74
2007-01-09,4.74
2007-01-10,4.77
2007-01-11,4.82
2007-01-12,4.86
2007-01-15,.
2007-01-16,4.85
2007-01-17,4.88
2007-01-18,4.85
2007-01-19,4.87
2007-01-22,4.84
2007-01-23,4.90
2007-01-24,4.91
2007-01-25,4.96
2007-01-26,4.98
2007-01-29,4.99
2007-01-30,4.98
2007-01-31,4.93
2007-02-01,4.93
2007-02-02,4.93
2007-02-05,4.91
2007-02-06,4.87
2007-02-07,4.86
2007-02-08,4.81
2007-02-09,4.87
2007-02-12,4.88
2007-02-13,4.90
2007-02-14,4.83
2007-02-15,4.81
2007-02-16,4.79
2007-02-19,.
2007-02-20,4.78
2007-02-21,4.79
2007-02-22,4.83
2007-02-23,4.79
2007-02-26,4.73
2007-02-27,4.62
2007-02-28,4.68
2007-03-01,4.68
2007-03-02,4.65
2007-03-05,4.64
2007-03-06,4.66
2007-03-07,4.64
2007-03-08,4.65
2007-03-09,4.72
2007-03-12,4.69
2007-03-13,4.66
2007-03-14,4.69
2007-03-15,4.69
2007-03-16,4.70
2007-03-19,4.72
2007-03-20,4.71
2007-03-21,4.70
2007-03-22,4.78
2007-03-23,4.80
2007-03-26,4.79
2007-03-27,4.81
2007-03-28,4.83
2007-03-29,4.83
2007-03-30,4.84
2007-04-02,4.84
2007-04-03,4.85
2007-04-04,4.85
2007-04-05,4.87
2007-04-06,4.92
2007-04-09,4.92
2007-04-10,4.91
2007-04-11,4.92
2007-04-12,4.91
2007-04-13,4.93
2007-04-16,4.89
2007-04-17,4.85
2007-04-18,4.81
2007-04-19,4.84
2007-04-20,4.85
2007-04-23,4.83
2007-04-24,4.80
2007-04-25,4.83
2007-04-26,4.87
2007-04-27,4.89
2007-04-30,4.81
2007-05-01,4.81
2007-05-02,4.82
2007-05-03,4.84
2007-05-04,4.80
2007-05-07,4.79
2007-05-08,4.80
2007-05-09,4.83
2007-05-10,4.83
2007-05-11,4.85
2007-05-14,4.86
2007-05-15,4.88
2007-05-16,4.88
2007-05-17,4.91
2007-05-18,4.96
2007-05-21,4.94
2007-05-22,4.98
2007-05-23,5.01
2007-05-24,5.00
2007-05-25,5.01
2007-05-28,.
2007-05-29,5.01
2007-05-30,5.01
2007-05-31,5.01
2007-06-01,5.06
2007-06-04,5.02
2007-06-05,5.07
2007-06-06,5.08
2007-06-07,5.20
2007-06-08,5.22
2007-06-11,5.24
2007-06-12,5.35
2007-06-13,5.28
2007-06-14,5.30
2007-06-15,5.26
2007-06-18,5.26
2007-06-19,5.20
2007-06-20,5.24
2007-06-21,5.28
2007-06-22,5.25
2007-06-25,5.20
2007-06-26,5.22
2007-06-27,5.20
2007-06-28,5.22
2007-06-29,5.12
2007-07-02,5.09
2007-07-03,5.14
2007-07-04,.
2007-07-05,5.24
2007-07-06,5.28
2007-07-09,5.25
2007-07-10,5.14
2007-07-11,5.18
2007-07-12,5.22
2007-07-13,5.19
2007-07-16,5.14
2007-07-17,5.16
2007-07-18,5.10
2007-07-19,5.12
2007-07-20,5.07
2007-07-23,5.07
2007-07-24,5.05
