period_id,period_name,period_date,category_id,category_code,category_desc,category_indent,datatype_id,datatype_code,datatype_desc,datatype_unit,error_type_id,error_type_code,error_type_desc,error_type_unit,geo_id,geo_code,geo_desc,is_adjusted,value
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,6.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,15.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,13.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,8.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,10.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,5.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,11.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,11.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,6.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,9.0
685,Jan2016,2016-01-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,14.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,6.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,17.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,14.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,9.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,10.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,5.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,13.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,11.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,6.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,8.0
686,Feb2016,2016-02-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,14.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,5.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,18.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,14.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,8.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,9.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,5.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,14.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,12.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,7.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,8.0
687,Mar2016,2016-03-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,13.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,5.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,18.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,13.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,7.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,9.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,4.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,13.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,11.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,6.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,9.0
688,Apr2016,2016-04-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,13.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,6.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,18.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,13.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,8.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,10.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,5.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,13.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,12.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,7.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,9.0
689,May2016,2016-05-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,13.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,5.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,18.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,12.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,4,SO,South,0,7.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,5,WE,West,0,10.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,1,US,United States,0,5.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,2,NE,Northeast,0,13.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,3,MW,Midwest,0,11.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,4,SO,South,0,7.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,2,E_SINGLE,Relative Standard Error for Single-family Units,PCT,5,WE,West,0,9.0
690,Jun2016,2016-06-15,5,STARTS,Housing Units Started,0,,,,,3,E_MULTI,Relative Standard Error for Units in Buildings with 5 Units or More,PCT,1,US,United States,0,13.0
691,Jul2016,2016-07-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,1,US,United States,0,5.0
691,Jul2016,2016-07-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,2,NE,Northeast,0,15.0
691,Jul2016,2016-07-15,5,STARTS,Housing Units Started,0,,,,,1,E_TOTAL,Relative Standard Error for Total Units,PCT,3,MW,Midwest,0,11.0
